P-links,P-name,Price,Rating,Reviews
https://www.amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_19?keywords=bags&qid=1675414124&sr=8-19,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,₹512,4.1 out of 5 stars,"4,860"
https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_20?keywords=bags&qid=1675414124&sr=8-20,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",₹299,4.1 out of 5 stars,"7,630"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MzA3NjM4NzMxMzc3MzYyOjE2NzU0MTQxMjQ6c3BfYnRmOjIwMTA3NTk1NzIyMzk4OjowOjo&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbags%26qid%3D1675414124%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),"₹1,424",4.3 out of 5 stars,"7,643"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MzA3NjM4NzMxMzc3MzYyOjE2NzU0MTQxMjQ6c3BfYnRmOjIwMDIyMzA1MzQ2MzA2OjowOjo&url=%2FCOSMUS-Polyester-Multi-functional-Convertible-15-6-Inch%2Fdp%2FB07D1R1K84%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dbags%26qid%3D1675414124%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,COSMUS Agility Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits 15.6 Inch Laptop,"₹1,862",4.2 out of 5 stars,890
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODU1MzIyNDgzNzgyODgyOjE2NzU0MTQxMjU6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1675414125%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",₹998,3.9 out of 5 stars,684
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODU1MzIyNDgzNzgyODgyOjE2NzU0MTQxMjU6c3BfYXRmOjIwMDM4MDA2MTg3Nzk4OjowOjo&url=%2FBackpack-Charging-Waterproof-Material-Capacity%2Fdp%2FB09MFWNY2C%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1675414125%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Northzone Boy's & Girl's Waterproof Material 34 Litres Sport School College Laptop Backpack With USB Charging - Laptop size upto 15.6 inches Capacity - upto 35 Ltrs ( Black),₹712,3.8 out of 5 stars,62
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?keywords=bags&qid=1675414125&sr=8-3,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"₹1,299",4.1 out of 5 stars,"51,370"
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?keywords=bags&qid=1675414125&sr=8-4,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹565,4.3 out of 5 stars,"9,226"
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?keywords=bags&qid=1675414125&sr=8-5,Skybags Brat Black 46 Cms Casual Backpack,₹669,4.1 out of 5 stars,"3,368"
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?keywords=bags&qid=1675414125&sr=8-6,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹499,3.9 out of 5 stars,462
https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_7?keywords=bags&qid=1675414125&sr=8-7,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",₹699,3.9 out of 5 stars,"2,184"
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_8?keywords=bags&qid=1675414125&sr=8-8,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",₹498,4.3 out of 5 stars,"12,103"
https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_9?keywords=bags&qid=1675414125&sr=8-9,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹349,4.1 out of 5 stars,"7,630"
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_10?keywords=bags&qid=1675414125&sr=8-10,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹889,4.3 out of 5 stars,"5,318"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODU1MzIyNDgzNzgyODgyOjE2NzU0MTQxMjU6c3BfbXRmOjIwMDgyMzk3MjEzODk4OjowOjo&url=%2FNORTH-ZONE-backpack-INVALID-DATA_grey%2Fdp%2FB0BH8S9QGH%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dbags%26qid%3D1675414125%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),₹599,3.7 out of 5 stars,33
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODU1MzIyNDgzNzgyODgyOjE2NzU0MTQxMjU6c3BfbXRmOjIwMTE0NjA4MDA3NDk4OjowOjo&url=%2FVOKAN-Laptop-Backpack-Charging-Resistant%2Fdp%2FB0BQJLHLXZ%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dbags%26qid%3D1675414125%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"VOKAN Laptop Backpack bag men With USB Charging Port, Water Resistant 30L (Red)",₹699,5.0 out of 5 stars,1
https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_13?keywords=bags&qid=1675414125&sr=8-13,DEIN KLEIDER Men's Nylon Messenger Bag,₹349,4.0 out of 5 stars,"4,396"
https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_14?keywords=bags&qid=1675414125&sr=8-14,ADISA Light Weight Laptop Backpack 32 Ltrs,₹499,4.0 out of 5 stars,"5,547"
https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_15?keywords=bags&qid=1675414125&sr=8-15,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",₹599,3.8 out of 5 stars,628
https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_16?keywords=bags&qid=1675414125&sr=8-16,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹999,3.9 out of 5 stars,710
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_17?keywords=bags&qid=1675414125&sr=8-17,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",₹899,3.9 out of 5 stars,675
https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_18?keywords=bags&qid=1675414125&sr=8-18,ADISA Laptop Backpack 31 Ltrs,₹499,4.0 out of 5 stars,"8,992"
https://www.amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_19?keywords=bags&qid=1675414125&sr=8-19,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,₹512,4.1 out of 5 stars,"4,860"
https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_20?keywords=bags&qid=1675414125&sr=8-20,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",₹299,4.1 out of 5 stars,"7,630"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODU1MzIyNDgzNzgyODgyOjE2NzU0MTQxMjU6c3BfYnRmOjIwMTA3NTk1NzIyMzk4OjowOjo&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbags%26qid%3D1675414125%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),"₹1,424",4.3 out of 5 stars,"7,643"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2ODU1MzIyNDgzNzgyODgyOjE2NzU0MTQxMjU6c3BfYnRmOjIwMDIyMzA1MzQ2MzA2OjowOjo&url=%2FCOSMUS-Polyester-Multi-functional-Convertible-15-6-Inch%2Fdp%2FB07D1R1K84%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dbags%26qid%3D1675414125%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,COSMUS Agility Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits 15.6 Inch Laptop,"₹1,862",4.2 out of 5 stars,890
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTU3OTIwMTcwMjcyNzc0OjE2NzU0MTQxMjY6c3BfYXRmOjIwMTA0MTQwMjYzNjk4OjowOjo&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1675414126%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",₹998,3.9 out of 5 stars,684
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTU3OTIwMTcwMjcyNzc0OjE2NzU0MTQxMjY6c3BfYXRmOjIwMDM4MDA2MTg3Nzk4OjowOjo&url=%2FBackpack-Charging-Waterproof-Material-Capacity%2Fdp%2FB09MFWNY2C%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1675414126%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Northzone Boy's & Girl's Waterproof Material 34 Litres Sport School College Laptop Backpack With USB Charging - Laptop size upto 15.6 inches Capacity - upto 35 Ltrs ( Black),₹712,3.8 out of 5 stars,62
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?keywords=bags&qid=1675414126&sr=8-3,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"₹1,299",4.1 out of 5 stars,"51,370"
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?keywords=bags&qid=1675414126&sr=8-4,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹565,4.3 out of 5 stars,"9,226"
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?keywords=bags&qid=1675414126&sr=8-5,Skybags Brat Black 46 Cms Casual Backpack,₹669,4.1 out of 5 stars,"3,368"
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?keywords=bags&qid=1675414126&sr=8-6,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹499,3.9 out of 5 stars,462
https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_7?keywords=bags&qid=1675414126&sr=8-7,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",₹699,3.9 out of 5 stars,"2,184"
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_8?keywords=bags&qid=1675414126&sr=8-8,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",₹498,4.3 out of 5 stars,"12,103"
https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_9?keywords=bags&qid=1675414126&sr=8-9,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹349,4.1 out of 5 stars,"7,630"
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_10?keywords=bags&qid=1675414126&sr=8-10,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹889,4.3 out of 5 stars,"5,318"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTU3OTIwMTcwMjcyNzc0OjE2NzU0MTQxMjY6c3BfbXRmOjIwMTE0NjA4MDA4Mzk4OjowOjo&url=%2FVOKAN-Laptop-Backpack-Charging-Resistant%2Fdp%2FB0BQ3ND145%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dbags%26qid%3D1675414126%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"VOKAN Laptop Backpack bag men With USB Charging Port, Water Resistant 30L (Black)",₹699,,
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTU3OTIwMTcwMjcyNzc0OjE2NzU0MTQxMjY6c3BfbXRmOjIwMDgyMzk3MjEzODk4OjowOjo&url=%2FNORTH-ZONE-backpack-INVALID-DATA_grey%2Fdp%2FB0BH8S9QGH%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dbags%26qid%3D1675414126%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),₹599,3.7 out of 5 stars,33
https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_13?keywords=bags&qid=1675414126&sr=8-13,DEIN KLEIDER Men's Nylon Messenger Bag,₹349,4.0 out of 5 stars,"4,396"
https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_14?keywords=bags&qid=1675414126&sr=8-14,ADISA Light Weight Laptop Backpack 32 Ltrs,₹499,4.0 out of 5 stars,"5,547"
https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_15?keywords=bags&qid=1675414126&sr=8-15,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",₹599,3.8 out of 5 stars,628
https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_16?keywords=bags&qid=1675414126&sr=8-16,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹999,3.9 out of 5 stars,710
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_17?keywords=bags&qid=1675414126&sr=8-17,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",₹899,3.9 out of 5 stars,675
https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_18?keywords=bags&qid=1675414126&sr=8-18,ADISA Laptop Backpack 31 Ltrs,₹499,4.0 out of 5 stars,"8,992"
https://www.amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_19?keywords=bags&qid=1675414126&sr=8-19,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,₹512,4.1 out of 5 stars,"4,860"
https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_20?keywords=bags&qid=1675414126&sr=8-20,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",₹299,4.1 out of 5 stars,"7,630"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTU3OTIwMTcwMjcyNzc0OjE2NzU0MTQxMjY6c3BfYnRmOjIwMTA3NTk1NzIyMzk4OjowOjo&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbags%26qid%3D1675414126%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),"₹1,424",4.3 out of 5 stars,"7,643"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMTU3OTIwMTcwMjcyNzc0OjE2NzU0MTQxMjY6c3BfYnRmOjIwMDIyMzA1MzQ2MzA2OjowOjo&url=%2FCOSMUS-Polyester-Multi-functional-Convertible-15-6-Inch%2Fdp%2FB07D1R1K84%2Fref%3Dsr_1_22_sspa%3Fkeywords%3Dbags%26qid%3D1675414126%26sr%3D8-22-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,COSMUS Agility Convertible Backpack Messenger Bag Shoulder bag Laptop Case Handbag Business Briefcase Multi-functional Travel Bag Fits 15.6 Inch Laptop,"₹1,862",4.2 out of 5 stars,890
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTUzMzA3Njk4ODIwNDQ6MTY3NTQxNDEyNzpzcF9hdGY6MjAxMDQxNDAyNjM2OTg6OjA6Og&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1675414127%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black",₹998,3.9 out of 5 stars,684
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTUzMzA3Njk4ODIwNDQ6MTY3NTQxNDEyNzpzcF9hdGY6MjAwMzgwMDYxODc3OTg6OjA6Og&url=%2FBackpack-Charging-Waterproof-Material-Capacity%2Fdp%2FB09MFWNY2C%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1675414127%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Northzone Boy's & Girl's Waterproof Material 34 Litres Sport School College Laptop Backpack With USB Charging - Laptop size upto 15.6 inches Capacity - upto 35 Ltrs ( Black),₹712,3.8 out of 5 stars,62
https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?keywords=bags&qid=1675414127&sr=8-3,American Tourister 32 Ltrs Black Casual Backpack (AMT FIZZ SCH BAG 02 - BLACK),"₹1,299",4.1 out of 5 stars,"51,370"
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_4?keywords=bags&qid=1675414127&sr=8-4,Wesley Milestone 2.0 Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack (Dimensions:13x18 inches) (Compatible with 39.62cm(15.6inch laptop) 30 L (Blue & black),₹565,4.3 out of 5 stars,"9,226"
https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_5?keywords=bags&qid=1675414127&sr=8-5,Skybags Brat Black 46 Cms Casual Backpack,₹669,4.1 out of 5 stars,"3,368"
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_6?keywords=bags&qid=1675414127&sr=8-6,ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),₹499,3.9 out of 5 stars,462
https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B29F66W/ref=sr_1_7?keywords=bags&qid=1675414127&sr=8-7,"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",₹699,3.9 out of 5 stars,"2,184"
https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_8?keywords=bags&qid=1675414127&sr=8-8,"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",₹498,4.3 out of 5 stars,"12,103"
https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_9?keywords=bags&qid=1675414127&sr=8-9,"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",₹349,4.1 out of 5 stars,"7,630"
https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_10?keywords=bags&qid=1675414127&sr=8-10,Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,₹889,4.3 out of 5 stars,"5,318"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTUzMzA3Njk4ODIwNDQ6MTY3NTQxNDEyNzpzcF9tdGY6MjAxMTQ2MDgwMDgzOTg6OjA6Og&url=%2FVOKAN-Laptop-Backpack-Charging-Resistant%2Fdp%2FB0BQ3ND145%2Fref%3Dsr_1_11_sspa%3Fkeywords%3Dbags%26qid%3D1675414127%26sr%3D8-11-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"VOKAN Laptop Backpack bag men With USB Charging Port, Water Resistant 30L (Black)",₹699,,
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTUzMzA3Njk4ODIwNDQ6MTY3NTQxNDEyNzpzcF9tdGY6MjAwODIzOTcyMTM4OTg6OjA6Og&url=%2FNORTH-ZONE-backpack-INVALID-DATA_grey%2Fdp%2FB0BH8S9QGH%2Fref%3Dsr_1_12_sspa%3Fkeywords%3Dbags%26qid%3D1675414127%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,NORTH ZONE 30 ltrs ( Cms) backpack(INVALID DATA_grey),₹599,3.7 out of 5 stars,33
https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_13?keywords=bags&qid=1675414127&sr=8-13,DEIN KLEIDER Men's Nylon Messenger Bag,₹349,4.0 out of 5 stars,"4,396"
https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_14?keywords=bags&qid=1675414127&sr=8-14,ADISA Light Weight Laptop Backpack 32 Ltrs,₹499,4.0 out of 5 stars,"5,547"
https://www.amazon.in/Safari-Spartan-Water-Resistant-Backpack/dp/B09B26MB5M/ref=sr_1_15?keywords=bags&qid=1675414127&sr=8-15,"Safari Spartan 21 Ltrs Water Resistant Backpack - Blue, S (SPARTAN19CBBLU)",₹599,3.8 out of 5 stars,628
https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_16?keywords=bags&qid=1675414127&sr=8-16,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",₹999,3.9 out of 5 stars,710
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B25Z8M2/ref=sr_1_17?keywords=bags&qid=1675414127&sr=8-17,"Safari Quill Laptop Backpack 26 Ltrs Water Resistant Fabric - Black, L (QUILL19CBBLK)",₹899,3.9 out of 5 stars,675
https://www.amazon.in/ADISA-BP004-Weight-Casual-Backpack/dp/B07G3CG9FC/ref=sr_1_18?keywords=bags&qid=1675414127&sr=8-18,ADISA Laptop Backpack 31 Ltrs,₹499,4.0 out of 5 stars,"8,992"
https://www.amazon.in/Bennett-Mystic-Shoulder-Messenger-Repellent/dp/B08X2T2M8G/ref=sr_1_19?keywords=bags&qid=1675414127&sr=8-19,Bennett™ Mystic Formal Business Briefcase Bag Crossbody Messenger College Bags For Men Women MacBook INoteBook ITablet Laptop Upto 15.6 Inch | Handbags with Shoulder Straps (Blue) 6 Months Warranty,₹512,4.1 out of 5 stars,"4,860"
https://www.amazon.in/Step-Backpack-Small-Water-Repellant/dp/B088XH1BP7/ref=sr_1_20?keywords=bags&qid=1675414127&sr=8-20,"Mi Step Out 12 L Mini Backpack (Small Size, Dark Blue, Water Repellant)",₹299,4.1 out of 5 stars,"7,630"
https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTUzMzA3Njk4ODIwNDQ6MTY3NTQxNDEyNzpzcF9idGY6MjAxMDc1OTU3MjIzOTg6OjA6Og&url=%2FHEROZ-Backpack-Resistant-Durable-Notebook%2Fdp%2FB08BYQZYYC%2Fref%3Dsr_1_21_sspa%3Fkeywords%3Dbags%26qid%3D1675414127%26sr%3D8-21-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),"₹1,424",4.3 out of 5 stars,"7,643"
